Species,Catalog,mtDNA Accession,Coverage,Taxon pair
Anser albifrons,UWBM43977,CSW4521,83.9,Anser
Anser albifrons,UWBM43978,CSW4522,56.9,Anser
Anser albifrons,UWBM71170,SVD1426,94.6,Anser
Anser albifrons,UAM27372,JJW884,22.2,Anser
Anser albifrons,UAM30571,JJW1495,32.6,Anser
Anser albifrons,UAM35427,JJW2405,70.5,Anser
Anser albifrons,UAM35428,JJW2413,7.6,Anser
Anser albifrons,UAM34089,KSW4176,11.5,Anser
Spatula clypeata,UWBM59827,CSW5794,3.6,Spatula
Spatula clypeata,UAM15459,DDG1988,3.6,Spatula
Spatula clypeata,UAM20167,DDG2053,17.2,Spatula
Spatula clypeata,UAM20152,DDG2054,13.2,Spatula
Spatula clypeata,UAM26717,SVD475,3.0,Spatula
Spatula clypeata,UAM36938,REW030,13.2,Spatula
Spatula clypeata,UAM36727,REW031,6.7,Spatula
Spatula clypeata,UAM15023,UAMX2539,7.1,Spatula
Spatula clypeata,UAM28973,UAMX5081,7.8,Spatula
Mareca penelope,UAM8758,DDG1663,156.3,Mareca
Mareca penelope,UAM9759,DDG1703,129.5,Mareca
Mareca penelope,UAM10008,DDG1716,167.2,Mareca
Mareca penelope,UAM31321,DDG1768,243.0,Mareca
Mareca penelope,UAM24301,UAMX4959,384.2,Mareca
Mareca penelope,UAM24455,MJL037,343.0,Mareca
Mareca penelope,UAM24550,UAMX5044,26.5,Mareca
Mareca penelope,UAM27749,JJW968,633.9,Mareca
Mareca americana,UAM11919,JSW3039,411.0,Mareca
Mareca americana,UAM11908,KSW3028,595.9,Mareca
Mareca americana,UAM11909,KSW3029,214.1,Mareca
Mareca americana,UAM11916,KSW3036,404.6,Mareca
Mareca americana,UAM13141,UAMX1468,92.5,Mareca
Mareca americana,UAM26061,JJW383,177.4,Mareca
Mareca americana,UAM28087,JJW976,278.6,Mareca
Mareca americana,UAM28088,JJW948,72.4,Mareca
Anas platyrhynchos,UWBM47068,CSW4828,16.4,Anas p
Anas platyrhynchos,UWBM44374,JMB1220,36.7,Anas p
Anas platyrhynchos,UAM30399,KSW5390,5.0,Anas p
Anas platyrhynchos,UAM11328,DDG1776,23.9,Anas p
Anas platyrhynchos,UWBM47160,SAR6383,31.6,Anas p
Anas platyrhynchos,UAM28089,JJW943,89.9,Anas p
Anas platyrhynchos,UAM28074,JJW944,81.1,Anas p
Anas platyrhynchos,UAM29647,JJW1397,48.3,Anas p
Anas platyrhynchos,UAM30290,JJW1592,20.4,Anas p
Anas platyrhynchos,UAM30286,JJW1602,22.8,Anas p
Anas platyrhynchos,UAM11193,KGM007,127.2,Anas p
Anas platyrhynchos,UAM31321,UAMX5540,25.4,Anas p
Anas acuta,UWBM44114,DAB055,66.6,Anas acuta
Anas acuta,UAM22595,DDG2122,12.1,Anas acuta
Anas acuta,UAM28156,KSW5107,31.3,Anas acuta
Anas acuta,UAM28167,KSW5120,23.2,Anas acuta
Anas acuta,UAM30400,KSW5391,4.3,Anas acuta
Anas acuta,UAM31205,JJW1897,17.4,Anas acuta
Anas acuta,UAM23468,KGM895,48.3,Anas acuta
Anas acuta,UAM29039,REW548,22.8,Anas acuta
Anas acuta,UAM22113,REW601,9.8,Anas acuta
Anas acuta,UAM31335,UAMX5487,37.6,Anas acuta
Anas crecca,UAM22853,KSW4951,304.6,Anas crecca
Anas crecca,UAM11334,KGM021,142.1,Anas crecca
Anas crecca,UAM11335,KGM020,481.6,Anas crecca
Anas crecca,UAM14100,DDG1885,312.5,Anas crecca
Anas crecca,UAM14666,DDG1884,104.3,Anas crecca
Anas crecca,UAM9191,DDG1732,1282.9,Anas crecca
Anas crecca,UAM9255,DDG1704,459.4,Anas crecca
Anas carolinensis,UAM28444,UAMX5069,177.9,Anas crecca
Anas carolinensis,UAM11251,UAMX203,50.2,Anas crecca
Anas carolinensis,UAM20635,KSW4530,119.2,Anas crecca
Anas carolinensis,UAM11920,KSW3040,176.5,Anas crecca
Anas carolinensis,UAM14961,KGM335,320.8,Anas crecca
Anas carolinensis,UAM24497,JMM448,34.1,Anas crecca
Anas carolinensis,UAM28085,JJW978,76.0,Anas crecca
Aythya marila,UAM30395,KSW5385,24.8,Aythya
Aythya marila,UAM30394,KSW5393,8.7,Aythya
Aythya marila,UAM30392,KSW5394,2.6,Aythya
Aythya marila,UAM30396,KSW5395,2.3,Aythya
Aythya marila,UAM30393,KSW5396,7.2,Aythya
Aythya marila,UAM28067,JJW324,163.1,Aythya
Aythya marila,UAM18068,JJW325,111.9,Aythya
Aythya marila,UAM35653,REW611,127.3,Aythya
Aythya marila,UAM30915,UAMX5076,151.9,Aythya
Aythya marila,UAM29987,UAMX5077,183.8,Aythya
Somateria spectabilis,UWBM43965,CSW4509,211.9,Somateria s
Somateria spectabilis,UWBM71169,SVD1425,33.9,Somateria s
Somateria spectabilis,UAM13153,ABJ107,30.0,Somateria s
Somateria spectabilis,UAM9396,UAMX892,27.1,Somateria s
Somateria spectabilis,UAM9422,UAMX901,16.4,Somateria s
Somateria spectabilis,UAM9423,UAMX903,3.0,Somateria s
Somateria spectabilis,UAM9439,UAMX907,13.9,Somateria s
Somateria mollissima,UAM13721,UAMX1708,6.1,Somateria m
Somateria mollissima,UAM20085,DDG1939,22.7,Somateria m
Somateria mollissima,UAM13336,DAR157,29.5,Somateria m
Somateria mollissima,UAM26746,KGM912,37.2,Somateria m
Somateria mollissima,UAM36436,KGM845,61.0,Somateria m
Somateria mollissima,UAM9440,UAMX378,31.1,Somateria m
Somateria mollissima,UAM35441,JJW2452,20.9,Somateria m
Somateria mollissima,UAM37604,JJW2952,22.4,Somateria m
Somateria mollissima,UAM34628,JJW2274,43.6,Somateria m
Somateria mollissima,UAM34700,JJW2273,83.3,Somateria m
Histrionicus histrionicus,UAM11800,DDG1753,19.0,Histrionicus
Histrionicus histrionicus,UAM11799,DDG1754,22.0,Histrionicus
Histrionicus histrionicus,UAM11801,DDG1755,1.9,Histrionicus
Histrionicus histrionicus,UAM9600,KSW2979,2.3,Histrionicus
Histrionicus histrionicus,UWBM82975,RYA1002,79.3,Histrionicus
Histrionicus histrionicus,UWBM44446,SAR6074,40.8,Histrionicus
Histrionicus histrionicus,UAM36431,JJW2664,2.2,Histrionicus
Histrionicus histrionicus,UAM40488,JJW3694,2.0,Histrionicus
Histrionicus histrionicus,UAM40489,JJW3695,1.3,Histrionicus
Histrionicus histrionicus,UAM36745,KGM641,13.5,Histrionicus
Melanitta americana,UWBM43946,CSW4486,196.1,Melanitta
Melanitta americana,UAM25996,JJW179,74.2,Melanitta
Melanitta americana,UAM27720,JJW951,14.5,Melanitta
Melanitta americana,UAM28065,JJW950,201.2,Melanitta
Melanitta americana,UAM29920,JJW1388,65.4,Melanitta
Melanitta americana,UAM35578,JJW2276,119.4,Melanitta
Clangula hyemalis,UWBM43970,CSW4514,124.1,Clangula
Clangula hyemalis,UWBM43919,CSW4454,264.4,Clangula
Clangula hyemalis,UWBM43918,CSW4453,351.8,Clangula
Clangula hyemalis,UWBM43917,CSW4452,407.5,Clangula
Clangula hyemalis,UWBM43895,CSW4428,208.9,Clangula
Clangula hyemalis,UWBM43894,CSW4427,209.9,Clangula
Clangula hyemalis,UWBM43893,CSW4426,132.9,Clangula
Clangula hyemalis,UAM29029,REW620,3382.7,Clangula
Clangula hyemalis,UAM28184,REW619,295.8,Clangula
Clangula hyemalis,UAM29027,REW618,251.0,Clangula
Clangula hyemalis,UAM21883,REW583,250.2,Clangula
Clangula hyemalis,UAM40387,REW564,141.8,Clangula
Clangula hyemalis,UAM21931,REW532,437.8,Clangula
Mergus merganser merganser,UWBM43819,CSW4346,8.7,Mergus
Mergus merganser merganser,UAM25375,JJW063,3.9,Mergus
Mergus merganser merganser,UAM25991,JJW334,26.0,Mergus
Mergus merganser merganser,UAM25990,JJW335,4.9,Mergus
Mergus merganser merganser,UAM28042,JJW344,15.8,Mergus
Mergus merganser merganser,UAM27012,JJW762,16.3,Mergus
Mergus merganser americanus,UWBM9348,AEI105,2.8,Mergus
Mergus merganser americanus,UAM34366,JJW2298,30.4,Mergus
Mergus merganser americanus,UAM11037,UAMX1058,12.0,Mergus
Mergus merganser americanus,UAM24305,UAMX4957,6.4,Mergus
Lagopus lagopus koreni,UAM25139,KSW5046,63.2,Lagopus
Lagopus lagopus koreni,UAM28169,KSW5052,32.3,Lagopus
Lagopus lagopus koreni,UAM29685,KSW5082,2.3,Lagopus
Lagopus lagopus koreni,UAM28171,KSW5133,28.2,Lagopus
Lagopus lagopus koreni,UAM14834,KSW5045,20.7,Lagopus
Lagopus lagopus alascensis,UAM27018,JJW711,15.1,Lagopus
Lagopus lagopus alascensis,UAM31562,JJW1970,21.5,Lagopus
Lagopus lagopus alascensis,UAM36927,JJW2909,15.2,Lagopus
Lagopus lagopus alascensis,UAM39209,JJW3352,9.0,Lagopus
Lagopus lagopus alascensis,UAM28238,TB349,32.0,Lagopus
Pluvialis fulva,UAM13545,DDG1860,188.6,Pluvialis
Pluvialis fulva,UAM26906,JJW145,228.6,Pluvialis
Pluvialis fulva,UAM8798,KSW2383,68.3,Pluvialis
Pluvialis fulva,UAM11307,TB408,188.3,Pluvialis
Pluvialis dominica,UAM26935,JJW362,137.0,Pluvialis
Pluvialis dominica,UAM13181,KSW2402,233.9,Pluvialis
Pluvialis dominica,UAM8938,KSW2468,169.0,Pluvialis
Pluvialis dominica,UAM9511,TB235,395.1,Pluvialis
Numenius phaeopus variegatus,UWBM14228,TB1364,,Numenius
Numenius phaeopus variegatus,UAM14229,TB1116,193.5,Numenius
Numenius phaeopus variegatus,UAM14230,TB1091,41.8,Numenius
Numenius phaeopus variegatus,UAM14225,TB1023,222.9,Numenius
Numenius phaeopus variegatus,UAM8212,DDF1666,266.7,Numenius
Numenius phaeopus variegatus,UAM21379,CLP727,93.7,Numenius
Numenius phaeopus variegatus,UAM14625,CLP450,371.5,Numenius
Numenius phaeopus hudsonicus,UAM11507,TB378,343.4,Numenius
Numenius phaeopus hudsonicus,UAM13349,ABJ142,114.4,Numenius
Numenius phaeopus hudsonicus,UAM9260,KSW2484,343.4,Numenius
Numenius phaeopus hudsonicus,UAM13925,KGM036,120.9,Numenius
Numenius phaeopus hudsonicus,UAM17980,JMM011,36.4,Numenius
Numenius phaeopus hudsonicus,UAM28602,JJW1154,24.9,Numenius
Numenius phaeopus hudsonicus,UAM28214,JJW1021,452.8,Numenius
Numenius phaeopus hudsonicus,UAM28213,JJW1013,361.5,Numenius
Arenaria interpres,UAM14954,DAR268,20.0,Arenaria
Arenaria interpres,UAM26977,JJW676,112.8,Arenaria
Arenaria interpres,UAM30797,JJW1637,178.8,Arenaria
Arenaria interpres,UAM20220,JMM422,8.2,Arenaria
Arenaria interpres,UAM13527,UAMX1744,76.7,Arenaria
Arenaria melanocephala,UAM28748,JJW1153,5.0,Arenaria
Arenaria melanocephala,UAM40266,JJW3588,449.8,Arenaria
Arenaria melanocephala,UAM20142,JMM326,141.0,Arenaria
Arenaria melanocephala,UAM20098,JMM327,18.0,Arenaria
Calidris alpina arcticola,UAM25341,JJW4409,18.9,Calidris
Calidris alpina arcticola,UAM19815,JJW4411,3.3,Calidris
Calidris alpina arcticola,UAM20132,UAMX3267,26.7,Calidris
Calidris alpina pacifica,UAM26914,JJW015,14.8,Calidris
Calidris alpina pacifica,UAM26913,JJW016,249.0,Calidris
Calidris alpina pacifica,UAM27576,JJW704,22.2,Calidris
Calidris alpina pacifica,UAM30313,JJW1490,21.7,Calidris
Calidris alpina pacifica,UAM30879,JJW1821,54.7,Calidris
Gallinago gallinago,UAM21848,CLP713,9.8,Gallinago
Gallinago gallinago,UAM8228,DDG1650,1.8,Gallinago
Gallinago gallinago,UAM26800,JJW158,1.5,Gallinago
Gallinago gallinago,UAM24695,KSW5126,33.9,Gallinago
Gallinago gallinago,UAM28175,KSW5134,1.9,Gallinago
Gallinago delicata,UAM19231,DDG2021,2.2,Gallinago
Gallinago delicata,UAM15063,DDG1945,2.1,Gallinago
Gallinago delicata,UAM20505,DDG2035,55.0,Gallinago
Gallinago delicata,UAM22570,DDG2118,31.9,Gallinago
Gallinago delicata,UAM30488,JJW1536,1.6,Gallinago
Tringa brevipes,UAM8805,KSW1782,897.6,Tringa bi
Tringa brevipes,UAM8521,KSW1781,399.3,Tringa bi
