Species 	Institution catalog #	Year 	Field #	Locality 	Assignment	NCBI-SRA 
Anser albifrons	UWBM 43977	1992	CSW4521	Russia: Chukotskiy Avtonomnyy Okrug; Anadyr', Avtatkuul River	OW	OR242814
Anser albifrons	UWBM 43978	1992	CSW4522	Russia: Chukotskiy Avtonomnyy Okrug; Anadyr', Avtatkuul River	OW	OR242813
Anser albifrons	UWBM 71170	1997	SVD1426	Russia: Yamalo-Nenetskiy Avtonomnyy Okrug; Labytnangi	OW	OR242815
Anser albifrons	UAM 27372	2010	JJW884	USA: Alaska; Kodiak Archipelago, Barry Lagoon	NW	OR242812
Anser albifrons	UAM 30571	2012	JJW1495	USA: Alaska; Kodiak Archipelago, Kalsin Bay	NW	OR242811
Anser albifrons	UAM 35427	2014	JJW2405	USA: Alaska; Kodiak Archipelago, Chirikof Island	NW	OR242810
Anser albifrons	UAM 35428	2014	JJW2413	USA: Alaska; Kodiak Archipelago, Chirikof Island	NW	OR242809
Anser albifrons	UAM 34089	2003	KSW4176	USA: Alaska; North Slope, Dalton Highway	NW	OR242808
Spatula clypeata	UWBM 59827	1998	CSW5794	Mongolia: Dornod Aymag; Choibalsan, Kherlen Gol	OW	OR243148
Spatula clypeata	UAM 15459	2002	DDG1988	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR243147
Spatula clypeata	UAM 20167	2004	DDG2053	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR243146
Spatula clypeata	UAM 20152	2004	DDG2054	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR243145
Spatula clypeata	UAM 26717	2003	SVD475	Russia: Magadanskaya Oblast	OW	OR243142
Spatula clypeata	UAM 36938	2002	REW030	USA: South Dakota; Kingsbury	NW	OR243144
Spatula clypeata	UAM 36727	2002	REW031	USA: South Dakota; Kingsbury	NW	OR243143
Spatula clypeata	UAM 15023	2002	UAMX2539	USA: Alaska; Fairbanks, South Cushman Street	NW	OR243141
Spatula clypeata	UAM 28973	2008	UAMX5081	USA: Alaska; Kodiak Archipelago, Chirikof Island	NW	OR243149
Mareca penelope	UAM 8758	1998	DDG1663	USA: Alaska; Aleutian Islands, Buldir  Island	OW	OR243015
Mareca penelope	UAM 9359	1999	DDG1703	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR243014
Mareca penelope	UAM 10008	1999	DDG1716	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR243013
Mareca penelope	UAM 11803	2010	DDG1768	USA: Alaska; Interior, Eielson Air Force Base	OW	OR243012
Mareca penelope	UAM 24301	2007	UAMX4959	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR243009
Mareca penelope	UAM 24455	2007	MJL037	USA: Alaska; Aleutian Islands, Attu Island	OW	OR243010
Mareca penelope	UAM 24550	2006	UAMX5044	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR243008
Mareca penelope	UAM 27749	2008	JJW968	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR243011
Mareca americana	UAM 11919	1999	KSW3039	USA: Alaska; Interior, Fairbanks	NW	OR243001
Mareca americana	UAM 11908	1999	KSW3028	USA: Alaska; Interior, Fairbanks	NW	OR243004
Mareca americana	UAM 11909	1999	KSW3029	USA: Alaska; Interior, Fairbanks	NW	OR243003
Mareca americana	UAM 11916	1999	KSW3036	USA: Alaska; Interior, Fairbanks	NW	OR243002
Mareca americana	UAM 13141	1998	UAMX1468	USA: Alaska; Interior, Fairbanks	NW	OR243000
Mareca americana	UAM 26061	2012	JJW383	USA: Alaska; Interior, Eielson Air Force Base	NW	OR243007
Mareca americana	UAM 28087	2008	JJW976	USA: Alaska; Kodiak Archipelago, Monashka Bay	NW	OR243005
Mareca americana	UAM 28088	2010	JJW948	USA: Alaska; Kodiak Archipelago, Deadman Bay	NW	OR243006
Anas platyrhynchos	UWBM 47068	1993	CSW4828	Russia: Khabarovskiy Kray; Nizhnetambovskoye, Goryun River	OW	OR242806
Anas platyrhynchos	UWBM 44374	1992	JMB1220	Russia: Magadanskaya Oblast; Balagannoye, Tauy River	OW	OR242800
Anas platyrhynchos	UAM 30399	2010	KSW5390	Russia: Kamchatka; Sea of Okhotsk	OW	OR242798
Anas platyrhynchos	UAM 11328	2000	DDG1776	USA: Alaska; Aleutian Islands, Shemya Island	OW	OR242797
Anas platyrhynchos	UWBM 47160	1993	SAR6383	Russia: Khabarovskiy Kray; Nizhnetambovskoye, Goryun River	OW	OR242796
Anas platyrhynchos	UAM 28089	2010	JJW943	USA: Alaska; Kodiak Archipelago, Deadman Bay	NW	OR242805
